Unnamed: 0,match_id,player,batting_team,runs,balls_faced,fours,sixes,is_dismissed,dismissal_kind,inning,strike_rate,balls_bowled,runs_conceded,dot_balls,wickets,overs,economy,maidens,catches,run_outs,direct_run_out,stadium,pitch_type,grass_cover,moisture,dew_prediction,bounce_and_carry,fantasy_points,matchYear,matchMonth,matchDay,matchDayOfWeek,matchDayOfYear
85,1216496,DL Chahar,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,24.0,31.0,8.0,1.0,4.0,7.75,0.0,1.0,0.0,0.0,Sharjah Cricket Stadium,Batting-friendly,Low,Low,Moderate,Low,46.0,2020,9,22,1,266
86,1216496,F du Plessis,Chennai Super Kings,72.0,38.0,1.0,7.0,1.0,caught,2.0,189.4736842105263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Sharjah Cricket Stadium,Batting-friendly,Low,Low,Moderate,Low,140.0,2020,9,22,1,266
97,1216496,RD Gaikwad,Chennai Super Kings,0.0,1.0,0.0,0.0,1.0,stumped,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sharjah Cricket Stadium,Batting-friendly,Low,Low,Moderate,Low,-2.0,2020,9,22,1,266
87,1216496,JC Archer,Rajasthan Royals,27.0,9.0,0.0,4.0,0.0,0,1.0,300.0,25.0,25.0,14.0,1.0,4.0,6.25,0.0,0.0,0.0,0.0,Sharjah Cricket Stadium,Batting-friendly,Low,Low,Moderate,Low,97.0,2020,9,22,1,266
105,1216496,YBK Jaiswal,Rajasthan Royals,6.0,6.0,1.0,0.0,1.0,caught and bowled,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sharjah Cricket Stadium,Batting-friendly,Low,Low,Moderate,Low,10.0,2020,9,22,1,266
104,1216496,TK Curran,Rajasthan Royals,10.0,9.0,1.0,0.0,0.0,0,1.0,111.11111111111111,25.0,53.0,6.0,1.0,4.0,13.25,0.0,1.0,0.0,0.0,Sharjah Cricket Stadium,Batting-friendly,Low,Low,Moderate,Low,52.0,2020,9,22,1,266
103,1216496,SV Samson,Rajasthan Royals,74.0,32.0,1.0,9.0,1.0,caught,1.0,231.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,Sharjah Cricket Stadium,Batting-friendly,Low,Low,Moderate,Low,162.0,2020,9,22,1,266
102,1216496,SR Watson,Chennai Super Kings,33.0,22.0,1.0,4.0,1.0,bowled,2.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sharjah Cricket Stadium,Batting-friendly,Low,Low,Moderate,Low,65.0,2020,9,22,1,266
99,1216496,S Gopal,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,24.0,38.0,6.0,1.0,4.0,9.5,0.0,0.0,0.0,0.0,Sharjah Cricket Stadium,Batting-friendly,Low,Low,Moderate,Low,36.0,2020,9,22,1,266
98,1216496,RV Uthappa,Rajasthan Royals,5.0,9.0,0.0,0.0,1.0,caught,1.0,55.55555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sharjah Cricket Stadium,Batting-friendly,Low,Low,Moderate,Low,5.0,2020,9,22,1,266
