match_id,date,bowler,wickets,runs_given,overs_bowled
1216534,2020-09-21,Sandeep Sharma,0,36,4
1216534,2020-09-21,T Natarajan,1,34,4
1216534,2020-09-21,UT Yadav,1,46,4
1216534,2020-09-21,V Shankar,1,11,2
1216534,2020-09-21,Washington Sundar,0,7,1
1216534,2020-09-21,YS Chahal,3,18,4
1216535,2020-10-31,A Nortje,1,25,3
1216535,2020-10-31,HV Patel,0,7,1
1216535,2020-10-31,J Yadav,0,18,3
1216535,2020-10-31,JJ Bumrah,4,16,4
1216535,2020-10-31,K Rabada,0,27,3
1216535,2020-10-31,KH Pandya,0,12,3
1216535,2020-10-31,MP Stoinis,0,4,1
1216535,2020-10-31,NM Coulter-Nile,1,14,2
1216535,2020-10-31,P Dubey,0,29,3
1216535,2020-10-31,R Ashwin,0,18,4
1216535,2020-10-31,RD Chahar,1,24,4
1216535,2020-10-31,TA Boult,3,21,4
1216536,2020-10-29,CV Varun,2,20,4
1216536,2020-10-29,DL Chahar,0,31,3
1216536,2020-10-29,KL Nagarkoti,0,34,3
1216536,2020-10-29,KV Sharma,1,35,4
1216536,2020-10-29,L Ngidi,2,33,4
1216536,2020-10-29,LH Ferguson,0,51,4
1216536,2020-10-29,MJ Santner,1,30,3
1216536,2020-10-29,N Rana,0,15,1
1216536,2020-10-29,PJ Cummins,2,26,4
1216536,2020-10-29,RA Jadeja,1,20,3
1216536,2020-10-29,SM Curran,0,21,3
1216536,2020-10-29,SP Narine,0,23,4
1216537,2020-10-30,Arshdeep Singh,0,34,3
1216537,2020-10-30,BA Stokes,2,29,4
1216537,2020-10-30,CJ Jordan,1,42,4
1216537,2020-10-30,JC Archer,2,26,4
1216537,2020-10-30,Kartik Tyagi,0,46,4
1216537,2020-10-30,M Ashwin,1,43,4
1216537,2020-10-30,Mohammed Shami,0,36,3
1216537,2020-10-30,R Tewatia,0,22,3
1216537,2020-10-30,Ravi Bishnoi,1,26,4
1216537,2020-10-30,S Gopal,0,10,1
1216537,2020-10-30,VR Aaron,0,41,4
1216538,2020-10-04,Abdul Samad,0,27,2
1216538,2020-10-04,JJ Bumrah,2,39,4
1216538,2020-10-04,JL Pattinson,2,28,4
1216538,2020-10-04,KA Pollard,0,18,3
1216538,2020-10-04,KH Pandya,1,30,4
1216538,2020-10-04,KS Williamson,0,24,2
1216538,2020-10-04,RD Chahar,0,16,1
1216538,2020-10-04,Rashid Khan,1,21,4
1216538,2020-10-04,S Kaul,2,62,4
1216538,2020-10-04,Sandeep Sharma,2,41,4
1216538,2020-10-04,T Natarajan,0,29,4
1216538,2020-10-04,TA Boult,2,28,4
1216539,2020-09-25,A Mishra,0,23,4
1216539,2020-09-25,A Nortje,2,18,4
1216539,2020-09-25,AR Patel,2,18,4
1216539,2020-09-25,Avesh Khan,0,41,4
1216539,2020-09-25,DL Chahar,0,37,4
1216539,2020-09-25,JR Hazlewood,0,27,4
1216539,2020-09-25,K Rabada,3,26,4
1216539,2020-09-25,PP Chawla,2,33,4
1216539,2020-09-25,RA Jadeja,0,44,4
1216539,2020-09-25,SM Curran,1,26,4
1216540,2020-10-12,AD Russell,1,46,4
1216540,2020-10-12,CH Morris,2,17,4
1216540,2020-10-12,CV Varun,0,25,4
1216540,2020-10-12,I Udana,1,19,2
1216540,2020-10-12,KL Nagarkoti,0,36,4
1216540,2020-10-12,M Prasidh Krishna,1,42,4
1216540,2020-10-12,Mohammed Siraj,1,24,3
1216540,2020-10-12,Navdeep Saini,1,14,3
1216540,2020-10-12,PJ Cummins,0,36,4
1216540,2020-10-12,Washington Sundar,3,20,4
1216540,2020-10-12,YS Chahal,1,12,4
1216541,2020-10-25,AS Rajpoot,0,56,4
1216541,2020-10-25,JC Archer,2,30,4
1216541,2020-10-25,JJ Bumrah,0,37,4
